line,rps,pr_level,mean_score,lesion_cm
LD02-4485,rps,Low,6.166666666666667,1.0875912945650996
LD07-3395bf,rps,Moderate,4.666666666666667,0.7791608675044203
LD08-12435a,rps,Moderate,5.833333333333333,1.6272720122655049
LD08-12441a,rps,Low,7.666666666666667,1.6948466134250335
LD09-10911,rps,Low,7.666666666666667,1.0441526884597774
LD09-30224,rps,Low,6.166666666666667,1.0026451384202892
LD10-10198,rps,High,4,2.8151892496537467
LD10-10219,rps,Moderate,5.333333333333333,1.5910919978131701
LD10-5213a,rps,Low,8,1.557543167831323
LD10-9168,rps,Low,6.833333333333333,1.8748557691288006
LD10-9200,rps,High,3.8333333333333335,1.8770431651355626
LD11-10069,Rps1c,Moderate,5.833333333333333,2.3424650388247645
LD11-13802R2,Rps1k,Moderate,5.833333333333333,1.2525212780445083
LD11-14102R2,rps,High,3.3333333333333335,3.981814462090144
LD11-2170,rps,Moderate,4.333333333333333,2.0983273272836387
LD11-7311,Rps1k,Low,6.5,1.852522677941973
LD12-10534,rps,Moderate,5.333333333333333,2.7324670412875847
LD12-12701a,rps,Low,6.333333333333333,2.6759857957117075
LD12-15064R1a,Rps1c,Low,6.333333333333333,2.5547596338109635
LD12-15129R1a,Rps1c,Moderate,5.833333333333333,4.010881752248017
LD12-15156R1a,Rps1c,Moderate,5.333333333333333,1.9578896465580682
LD12-15246R2a,rps,Low,6.833333333333333,0.9465116707708565
LD12-15609R2,rps,Low,6.333333333333333,1.4465806633759297
LD12-3866,rps,Low,7.3,1.3526647711274948
LD12-459,rps,Moderate,5.166666666666667,1.845121305669476
LD12-6010a,rps,Moderate,5.833333333333333,2.0762522596720743
LD12-8677,Rps1a,High,3.1666666666666665,1.6516712232942563
LD13-13334R1a,Rps1c,Low,6.333333333333333,1.6368530977609337
LD13-13478R1a,rps,High,4,2.132187258600805
LD13-14071R2,Rps1c,Low,6.166666666666667,1.2301323084619846
